user,text
Pradee089,"@getsimpl @Hrishikeshroy Hi, Sir/Madam @amazonIN and @myntra,@Flipkart,@Snapdeal,@Meesho
 plz get pay later option.… https://t.co/TdJQBRFq8f"
Pradee089,"HEY @amazonIN, @Snapdeal, @Flipkart, @Meesho and @myntra Y U NO @getsimpl  #KeepItSimpl"
krajeev79,RT @LexOrbisIP: Online domain disputes involving #ecommerce platforms are on the rise. Manisha Singh &amp; Anirudh Arora discuss #DelhiHighCour…
allwebinfo,"I do all gst services for amazon flipkart meesho shopify myntra https://t.co/iJy8juttfL

I do amazon, jio mart ,sna… https://t.co/hwSonwZvVO"
HarDhiraj,What is happening @amazonIN @amazon? Your Customer care service and Delivery executives are giving poor services to… https://t.co/u20T49OaO9
atrupt_aatma,@flipkartsupport @Flipkart @_Kalyan_K @amazonIN @snapdeal @Paytm @Flipkart is headed on the path of self destructio… https://t.co/4FJ1a2hMMJ
atrupt_aatma,"@flipkartsupport @Flipkart @_Kalyan_K Day 13 today, I observe this day as तेरवा of my flipkart a/c, I don't want to… https://t.co/I4Grxj4wVE"
Snapdeal_Help,"@Sachin41275230 Hi, Love it when you are happy with us. This shall continue forever. Thanks! Ashi"
Sachin41275230,@Snapdeal_Help Thank you #Snapdeal customer care social media team helped me to get my Refund which Snapdeal wasn't… https://t.co/sbLFiXF2Ie
deepak09joshi,"RT @NSisodiya86: @snapdeal @Snapdeal_Help 
Thank you #Snapdeal customer care team for quickly providing your assistance and resolving my is…"
Snapdeal_Help,@NSisodiya86 Hi! Thank you for taking the time to share your valuable feedback. Your kind words encourage us greatly. Thanks! Ashi
NSisodiya86,"@snapdeal @Snapdeal_Help 
Thank you #Snapdeal customer care team for quickly providing your assistance and resolvin… https://t.co/sPG64AgArP"
Snapdeal_Help,@DrFahimSayyad1 Our team got in touch with you and updated you on the issue. Thanks! Ashi
DrFahimSayyad1,@Snapdeal_Help as a customer am not agree with U.
DrFahimSayyad1,"@Snapdeal_Help as a customer am not agree with U.
after 4 day... ur action is '0'"
DrFahimSayyad1,@Snapdeal_Help as a customer am not agree with U.
DrFahimSayyad1,@Snapdeal_Help as a customer am not agree with U.
DrFahimSayyad1,@Snapdeal_Help as a customer am not agree with U.
snapdeal,Oversized t-shirts are a different kind of love when it's a weekend and the weather is amazing! Shop on #Snapdeal n… https://t.co/r69GXBE1YH
jb2010b,"https://t.co/8YnsYr3ann
@kunalb11 
Wonder what is the delta-4 for useless 5 lakh Cred Coins.
Man has more podcasts… https://t.co/DPFSr6WpL5"
deepak09joshi,"RT @VishalD_jaunpur: @snapdeal Thanks to @snapdeal for the quick replacement 

Snapdeal customer support team is very fast 

⭐⭐⭐⭐⭐ Out of ⭐…"
Snapdeal_Help,"@VishalD_jaunpur Hi, Love it when you are happy with us. This shall continue forever. Thanks! Ashi"
VishalD_jaunpur,"@snapdeal Thanks to @snapdeal for the quick replacement 

Snapdeal customer support team is very fast 

⭐⭐⭐⭐⭐ Out of ⭐⭐⭐⭐⭐"
akhshay_singh,"RT @akhshay_singh: @flipkartsupport You are not doing charity, I have made the payment, very soon you are going to heat now the era of soci…"
akhshay_singh,"RT @akhshay_singh: @flipkartsupport which version is correct? Flipcart has lost the crediblity, you are going to be next Snapdeal if you ha…"
Snapdeal_Help,@DeepaJh44633469 Your warm appreciation towards our efforts has made our day. We bank on more such kind and inspiri… https://t.co/UvLvBae7PN
gola_ranjana,@ajaychauhan1557 @Snapdeal_Help @snapdeal @1kunalbahl @rohitkbansal Apk customer care executives sunte hi nhi
DeepaJh44633469,@Snapdeal_Help @snapdeal thanks you so much sir for helping me and issuing my refund. Thanks you so much sir
